Name,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
Malik NabersNYG,WR,4,35,52,386,11.0,3,39,7,96.5,0,0,156,19
Nico CollinsHOU,WR,3,18,28,338,18.8,1,55,5,112.7,0,0,107,16
CeeDee LambDAL,WR,4,20,32,316,15.8,2,65,4,79.0,1,1,154,11
Rashee RiceKC,WR,3,24,29,288,12.0,2,44,3,96.0,0,0,186,15
Jauan JenningsSF,WR,3,18,21,276,15.3,3,34,5,92.0,0,0,42,12
Justin JeffersonMIN,WR,3,14,21,273,19.5,3,97,4,91.0,0,0,101,10
DK MetcalfSEA,WR,3,17,24,262,15.4,2,71,3,87.3,0,0,105,7
Chris GodwinTB,WR,3,21,25,253,12.0,3,41,2,84.3,0,0,138,17
Dallas GoedertPHI,TE,3,17,20,239,14.1,0,61,5,79.7,1,0,158,7
DeVonta SmithPHI,WR,3,21,28,239,11.4,1,25,2,79.7,0,0,77,13
Alec PierceIND,WR,3,9,12,225,25.0,2,60,3,75.0,0,0,17,7
Ja'Marr ChaseCIN,WR,3,16,18,215,13.4,2,41,4,71.7,0,0,72,9
Davante AdamsLV,WR,3,18,27,209,11.6,1,30,4,69.7,0,0,45,10
Jameson WilliamsDET,WR,3,11,23,209,19.0,1,52,4,69.7,0,0,100,6
Amon-Ra St. BrownDET,WR,3,21,32,207,9.9,1,20,2,69.0,0,0,52,12
Marvin HarrisonARI,WR,3,10,22,198,19.8,3,60,3,66.0,0,0,31,9
Jayden ReedGB,WR,3,10,14,197,19.7,1,70,4,65.7,0,0,116,4
Brock BowersLV,TE,3,18,21,197,10.9,0,27,4,65.7,0,0,81,10
Tyreek HillMIA,WR,3,13,23,194,14.9,1,80,2,64.7,0,0,119,8
Wan'Dale RobinsonNYG,WR,4,26,38,194,7.5,1,20,1,48.5,0,0,100,10
Brian ThomasJAX,WR,3,11,17,189,17.2,1,66,2,63.0,0,0,61,8
