Name,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
Saquon BarkleyPHI,RB,3,63,351,5.6,65,3,4,117.0,0,0,16
Jordan MasonSF,RB,3,67,324,4.8,24,2,2,108.0,1,0,16
J.K. DobbinsLAC,RB,3,42,310,7.4,61,3,2,103.3,0,0,13
Alvin KamaraNO,RB,3,61,285,4.7,17,0,4,95.0,0,0,18
Derrick HenryBAL,RB,3,56,281,5.0,29,3,4,93.7,0,0,16
Josh JacobsGB,RB,3,62,278,4.5,34,3,0,92.7,2,1,13
Jonathan TaylorIND,RB,3,51,261,5.1,29,3,3,87.0,0,0,16
Lamar JacksonBAL,QB,3,35,254,7.3,25,1,1,84.7,0,0,14
David MontgomeryDET,RB,3,51,231,4.5,21,1,3,77.0,0,0,15
Aaron JonesMIN,RB,3,42,228,5.4,39,1,1,76.0,0,0,11
Rhamondre StevensonNE,RB,3,52,224,4.3,18,0,2,74.7,3,1,11
Devin SingletaryNYG,RB,4,56,221,3.9,43,2,2,55.3,2,2,12
Najee HarrisPIT,RB,3,55,209,3.8,21,2,0,69.7,0,0,8
Jahmyr GibbsDET,RB,3,40,207,5.2,24,2,1,69.0,0,0,10
Brian Robinson Jr.WSH,RB,3,45,206,4.6,40,2,2,68.7,0,0,11
Bijan RobinsonATL,RB,3,48,196,4.1,19,0,1,65.3,0,0,12
Chuba HubbardCAR,RB,3,37,192,5.2,23,1,0,64.0,0,0,11
James ConnerARI,RB,3,46,189,4.1,22,2,2,63.0,1,0,13
James CookBUF,RB,3,41,188,4.6,49,1,3,62.7,0,0,10
Joe MixonHOU,RB,2,39,184,4.7,16,0,1,92.0,0,0,10
Jayden DanielsWSH,QB,3,38,171,4.5,17,0,3,57.0,2,0,15
Breece HallNYJ,RB,3,46,170,3.7,30,1,2,56.7,1,0,9
Travis Etienne Jr.JAX,RB,3,36,164,4.6,22,2,2,54.7,1,1,11
Kyren WilliamsLAR,RB,3,54,164,3.0,13,0,4,54.7,0,0,14
Kyler MurrayARI,QB,3,15,161,10.7,29,3,0,53.7,0,0,7
Tony PollardTEN,RB,3,39,158,4.1,26,1,1,52.7,0,0,9
Bucky IrvingTB,RB,3,25,154,6.2,32,2,0,51.3,0,0,5
De'Von AchaneMIA,RB,3,43,150,3.5,17,0,1,50.0,0,0,7
Jerome FordCLE,RB,3,29,145,5.0,36,1,1,48.3,0,0,9
Jalen HurtsPHI,QB,3,34,143,4.2,23,2,1,47.7,2,1,10
Antonio GibsonNE,RB,3,23,143,6.2,45,1,0,47.7,0,0,7
Zach CharbonnetSEA,RB,3,40,141,3.5,13,0,3,47.0,0,0,8
Zack MossCIN,RB,3,33,136,4.1,16,0,2,45.3,0,0,12
Isiah PachecoKC,RB,2,34,135,4.0,11,0,1,67.5,0,0,6
Rico DowdleDAL,RB,4,34,134,3.9,10,0,0,33.5,0,0,8
Anthony RichardsonIND,QB,3,18,117,6.5,21,1,1,39.0,2,0,8
Malik WillisGB,QB,3,12,114,9.5,29,2,1,38.0,0,0,5
Ty ChandlerMIN,RB,3,25,112,4.5,25,1,0,37.3,0,0,5
Bo NixDEN,QB,3,18,107,5.9,23,2,2,35.7,0,0,11
Tyler AllgeierATL,RB,3,19,106,5.6,15,0,0,35.3,0,0,6
Emanuel WilsonGB,RB,3,21,105,5.0,18,0,0,35.0,0,0,6
Chase BrownCIN,RB,3,14,104,7.4,16,0,0,34.7,0,0,5
Kenneth Walker IIISEA,RB,1,20,103,5.2,23,1,1,103.0,0,0,4
Zamir WhiteLV,RB,3,32,102,3.2,12,0,0,34.0,1,1,2
Carson SteeleKC,RB,3,26,99,3.8,9,0,0,33.0,1,1,10
Braelon AllenNYJ,RB,3,19,96,5.1,20,1,1,32.0,0,0,5
Gus EdwardsLAC,RB,3,32,94,2.9,10,0,0,31.3,0,0,2
Justin FieldsPIT,QB,3,28,90,3.2,16,0,1,30.0,2,0,7
Jayden ReedGB,WR,3,5,89,17.8,33,2,1,29.7,0,0,4
Will LevisTEN,QB,3,11,86,7.8,21,1,0,28.7,0,0,7
