Team,Total Points Per Game,Total Points,Total Touchdowns,1st Downs,Total 1st downs,Rushing 1st downs,Passing 1st downs,1st downs by penalty,3rd down efficiency,3rd down %,4th down efficiency,4th down %,Passing,Comp-Att,Net Passing Yards,Yards Per Pass Attempt,Net Passing Yards Per Game,Passing Touchdowns,Interceptions,Sacks-Yards Lost,Rushing,Rushing Attempts,Rushing Yards,Yards Per Rush Attempt,Rushing Yards Per Game,Rushing Touchdowns,Offense,Total Offensive Plays,Total Yards,Yards Per Game,Returns,Kickoffs: Total,Average Kickoff Return Yards,Punt: Total,Average Punt Return Yards,INT: Total,Average Interception Yards,Kicking,Net Average Punt Yards,Punt: Total Yards,FG: Good-Attempts,Touchback Percentage,Penalties,Total-Yards,Avg. Per Game (YDS),Time of Possession,Possession Time Seconds,Miscellaneous,Fumbles-Lost,Turnover Ratio
ARI,23.5,400,41,,356,136,191,29,83-193,43.01,8-18,44.44,,374-543,3639,7.1,214.1,21,11,30-220,,463,2451,5.3,144.2,18,,1036,6310,371.2,,26-709,27.3,21-202,10.2,9-12,1.3,,43.5,54-2563,34-38,82,,92-806,47,,29:45,,21-9,-3
ATL,22.9,389,40,,359,133,198,28,82-209,39.23,21-31,67.74,,364-559,4068,7.7,239.3,21,19,32-215,,495,2219,4.5,130.5,18,,1086,6502,382.5,,30-791,26.4,21-200,13.9,12-187,15.6,,40.5,47-2209,29-41,69,,99-828,48,,29:58,,21-5,-6
BAL,26.5,53,7,,52,29,20,3,17-25,68.00,1-1,100.00,,34-46,405,9.3,202.5,4,1,3-24,,80,475,5.9,237.5,3,,129,904,452.0,,5-134,26.8,2-20,14.0,0-0,0.0,,42.3,4-183,2-2,73,,8-57,28,,33:54,,4-2,-3
BUF,29.0,87,10,,68,36,26,6,18-40,45.00,7-9,77.78,,58-82,614,7.8,204.7,4,0,5-22,,112,504,4.5,168.0,6,,199,1140,380.0,,4-112,28.0,3-36,19.0,1-0,0.0,,39.8,6-296,6-6,47,,14-103,34,,34:39,,4-0,4
CAR,20.1,341,40,,293,99,168,26,76-211,36.02,14-30,46.67,,341-547,3188,6.2,187.5,22,15,36-223,,410,1878,4.6,110.5,18,,993,5289,311.1,,42-1060,25.2,24-177,6.8,9-96,10.7,,42.1,74-3338,22-26,42,,118-947,55,,28:00,,17-7,-5
CHI,18.2,310,35,,296,97,172,27,76-231,32.90,23-38,60.53,,353-566,3086,6.3,181.5,20,7,68-466,,431,1734,4.0,102.0,13,,1065,5305,310.9,,28-768,27.4,24-304,10.3,11-87,7.9,,42.5,82-3911,21-25,53,,110-867,51,,30:09,,19-9,8
CIN,27.8,472,55,,376,88,253,35,100-214,46.73,10-19,52.63,,460-652,4640,7.5,272.9,43,9,48-278,,380,1574,4.1,92.6,11,,1080,6492,381.9,,39-1133,29.1,34-248,8.8,15-249,16.6,,44.8,53-2603,25-33,76,,101-780,45,,31:02,,24-13,3
CLE,15.2,258,29,,303,93,180,30,70-237,29.54,24-44,54.55,,395-661,3506,5.9,206.2,19,23,66-373,,391,1608,4.1,94.6,8,,1118,5487,322.8,,41-1018,24.8,45-450,13.3,4--2,-0.5,,43.3,89-4387,18-26,59,,119-915,53,,30:12,,20-11,-22
DAL,20.6,350,32,,327,98,192,37,84-228,36.84,10-28,35.71,,398-637,3862,6.4,227.2,23,14,38-230,,429,1705,4.0,100.3,6,,1104,5813,341.0,,34-1091,32.1,19-188,10.3,13-97,7.5,,43.0,62-3005,40-47,49,,128-921,54,,29:16,,29-14,-6
DEN,7.0,7,1,,13,5,7,1,2-9,22.22,1-3,33.33,,14-23,145,6.9,145.0,1,0,2-14,,17,79,4.6,79.0,0,,42,238,238.0,,1-16,16.0,1-0,15.0,0-0,0.0,,40.5,4-192,0-1,0,,3-27,27,,18:17,,0-0,0
DET,31.0,31,4,,30,10,19,1,3-9,33.33,2-2,100.00,,25-43,320,7.8,320.0,1,4,2-16,,23,201,8.7,201.0,3,,68,537,537.0,,5-114,22.8,0-0,0.0,0-0,0.0,,43.0,1-43,1-1,83,,5-30,30,,26:01,,1-1,-5
